[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:09,088 : 하향추세 010950 S-Oil < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:09,089 : 조건검색 종목 수3
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,093 : 하향추세 003670 포스코퓨처엠 < 5MA 10MA
[WARNING] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,094 :  Not found in last_ohlc.txt 005070 코스모신소재
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,094 : 하향추세 005490 POSCO홀딩스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,094 : 하향추세 006400 삼성SDI < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,095 : 하향추세 012450 한화에어로스페이스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,095 : 하향추세 042700 한미반도체 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,095 : 하향추세 047810 한국항공우주 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,096 : 하향추세 064350 현대로템 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,096 : 하향추세 079550 LIG디펜스앤에어로스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,096 : 하향추세 086520 에코프로 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,097 : 하향추세 096770 SK이노베이션 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,097 : 하향추세 247540 에코프로비엠 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,097 : 하향추세 272210 한화시스템 < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:10,098 : 조건검색 종목 수18
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:11,113 : 하향추세 010950 S-Oil < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:11,113 : 조건검색 종목 수4
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,120 : 하향추세 003670 포스코퓨처엠 < 5MA 10MA
[WARNING] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,120 :  Not found in last_ohlc.txt 005070 코스모신소재
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,120 : 하향추세 005490 POSCO홀딩스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,120 : 하향추세 006400 삼성SDI < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,121 : 하향추세 012450 한화에어로스페이스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,121 : 하향추세 042700 한미반도체 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,121 : 하향추세 047810 한국항공우주 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,122 : 하향추세 064350 현대로템 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,122 : 하향추세 079550 LIG디펜스앤에어로스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,122 : 하향추세 086520 에코프로 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,122 : 하향추세 096770 SK이노베이션 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,123 : 하향추세 247540 에코프로비엠 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,123 : 하향추세 272210 한화시스템 < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:12,123 : 조건검색 종목 수18
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:13,143 : 하향추세 010950 S-Oil < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:13,144 : 조건검색 종목 수4
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,161 : 하향추세 003670 포스코퓨처엠 < 5MA 10MA
[WARNING] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,161 :  Not found in last_ohlc.txt 005070 코스모신소재
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,162 : 하향추세 005490 POSCO홀딩스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,162 : 하향추세 006400 삼성SDI < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,162 : 하향추세 012450 한화에어로스페이스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,163 : 하향추세 042700 한미반도체 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,163 : 하향추세 047810 한국항공우주 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,163 : 하향추세 064350 현대로템 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,164 : 하향추세 079550 LIG디펜스앤에어로스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,164 : 하향추세 086520 에코프로 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,165 : 하향추세 096770 SK이노베이션 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,165 : 하향추세 247540 에코프로비엠 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,165 : 하향추세 272210 한화시스템 < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:14,166 : 조건검색 종목 수18
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:15,172 : 하향추세 010950 S-Oil < 5MA 10MA
[DEBUG] 'chk_vobres_n_buy.py' 2026-06-02 11:46:15,173 : 조건검색 종목 수4
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,178 : 하향추세 003670 포스코퓨처엠 < 5MA 10MA
[WARNING] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,178 :  Not found in last_ohlc.txt 005070 코스모신소재
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,178 : 하향추세 005490 POSCO홀딩스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,178 : 하향추세 006400 삼성SDI < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,178 : 하향추세 012450 한화에어로스페이스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 042700 한미반도체 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 047810 한국항공우주 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 064350 현대로템 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 079550 LIG디펜스앤에어로스 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 086520 에코프로 < 5MA 10MA
[INFO] 'chk_vobres_n_buy.py' 2026-06-02 11:46:16,179 : 하향추세 096770 SK이노베이션 < 5MA 10MA
